"","Cena","Stanje","Marka","Tip","Model","Godiste","Kilometraza","Kubikaza","kW","KS","Broj.cilindara","Menjac","Boja","Registracija","Poreklo","Ostecenje"
"3810",950,"Polovan motor","Suzuki","Sport / Super sport","GSX750F",1989,53600,750,40,54,4," Manuelni"," Crna"," 05.2017.","Domace tablice"," Nije ostecen"
"3812",2800,"Polovan motor","Suzuki","Sport / Super sport","SV1000S",2003,21500,998,88,120,2," Manuelni"," Plava"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"3813",1750,"Polovan motor","Suzuki","Sport / Super sport","tl1000r",1999,64410,1000,107,146,2," Manuelni"," Bela"," 05.2017.","Domace tablice"," Nije ostecen"
"3815",6800,"Polovan motor","Suzuki","Sport / Super sport","GSXR 600",2011,12840,600,93,126,4," Manuelni"," Plava"," 04.2017.","Domace tablice"," Nije ostecen"
"3819",1650,"Polovan motor","Suzuki","Chopper / Cruiser","VX800",1997,38300,805,36,49,2," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"3826",7300,"Polovan motor","Suzuki","Chopper / Cruiser","Intruder 1800",2008,24000,1783,92,125,2," Manuelni","Zuta"," 05.2017.","Domace tablice"," Nije ostecen"
"3827",3000,"Polovan motor","Suzuki","Sport / Super sport","GSXR 1000",2003,47000,998,135,184,4," Manuelni"," Siva"," 04.2017.","Domace tablice"," Nije ostecen"
"3835",4900,"Polovan motor","Suzuki","Chopper / Cruiser","Boulevard",2006,12652,800,39,53,2," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"3862",4100,"Polovan motor","Suzuki","Naked","gsr600",2011,17000,600,72,98,4," Manuelni"," Siva"," 05.2017.","Domace tablice"," Nije ostecen"
"3864",2500,"Polovan motor","Suzuki","Sport / Super sport","gsxr 600 k2",2002,45760,600,88,120,4," Manuelni"," Plava"," 05.2017.","Domace tablice"," Nije ostecen"
"3875",1350,"Polovan motor","Suzuki","Scooter","BURGMAN 400",2000,40000,400,24,33,1," Automatski"," Siva"," Nije registrovan","Domace tablice"," Nije ostecen"
"3881",1500,"Polovan motor","Suzuki","Scooter","Burgman AN400 HITNO",2005,40000,385,24,33,1," Automatski",""," 04.2017.","Domace tablice"," Nije ostecen"
"3886",4750,"Polovan motor","Suzuki","Sport / Super sport","k7 gsxr600",2008,21000,599,88,120,4," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"3910",2600,"Polovan motor","Suzuki","Naked","sv650",2007,34500,650,53,72,2," Manuelni"," Plava"," 02.2017.","Domace tablice"," Nije ostecen"
"3913",650,"Polovan motor","Suzuki","Sport / Super sport","RG",1996,21000,125,9,12,1," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"3914",1400,"Polovan motor","Suzuki","Touring","GSX 750 F",1990,50000,748,77,105,4," Manuelni"," Crna"," 05.2017.","Domace tablice"," Nije ostecen"
"3922",2800,"Polovan motor","Suzuki","Sport / Super sport","GSXR 1000",2002,30080,998,118,160,4," Manuelni"," Plava"," 05.2017.","Domace tablice"," Nije ostecen"
"3934",950,"Polovan motor","Suzuki","Enduro / Cross","Dr",1993,48000,650,27,37,1," Manuelni"," Crvena"," 09.2017.","Domace tablice"," Nije ostecen"
"3936",2100,"Polovan motor","Suzuki","Sport / Super sport","GSXR",2003,58000,600,84,114,4," Manuelni","Zuta"," Nije registrovan","Domace tablice"," Nije ostecen"
"3942",1500,"Polovan motor","Suzuki","Chopper / Cruiser","intruder",2001,30000,125,8,11,4," Manuelni"," Siva"," Nije registrovan","Domace tablice"," Nije ostecen"
"3947",6690,"Polovan motor","Suzuki","Sport / Super sport","GSXR 600",2011,18700,600,93,127,NA," Manuelni"," Narandžasta"," 05.2017.","Domace tablice"," Nije ostecen"
"3950",600,"Polovan motor","Suzuki","Sport / Super sport","rg 125 gama",1993,37000,125,11,15,1," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"3959",3500,"Polovan motor","Suzuki","Sport / Super sport","K4",2004,41000,1000,121,165,4," Manuelni"," Crna"," 04.2017.","Domace tablice"," Nije ostecen"
