15.800 €,Polovan motor,BMW,Touring,K1600 GT,2013. godište,39.000 km,Kubikaža (cm3) 1600,Snaga (kW/KS) 118/160,Broj cilindara 6,Menjač Manuelni,Boja Bela,Registrovan do 01.2018.,Poreklo vozila Domaće tablice,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
3.950 €,Polovan motor,Honda,Naked,CB 900 HORNET,2003. godište,25.000 km,Kubikaža (cm3) 919,Snaga (kW/KS) 80/109,Broj cilindara 4,Menjač Manuelni,Boja Plava,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
2.299 €,Nov motor,Vespa,Scooter,Primavera 50 2T,2014. godište,0 km,Kubikaža (cm3) 49,Snaga (kW/KS) 4/5,Broj cilindara 1,Menjač Automatski,Boja Crvena,Registrovan do Nije registrovan,Poreklo vozila Domaće tablice,Tip hlađenja motora Vazdušno hlađenje,Oštećenje Nije oštećen
400 €,Polovan motor,Piaggio,Scooter,typhoon xr 125,2001. godište,15.000 km,Kubikaža (cm3) 125,Snaga (kW/KS) 8/11,nepoznato,nepoznato,Boja Crvena,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
3.400 €,Polovan motor,Honda,Touring,ST1100 pan european ABS,1996. godište,77.000 km,Kubikaža (cm3) 1085,Snaga (kW/KS) 72/98,Broj cilindara 4,Menjač Manuelni,Boja Bordo,Registrovan do 04.2017.,Poreklo vozila Domaće tablice,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
1.950 €,Polovan motor,Yamaha,Scooter,t Max,2002. godište,40.000 km,Kubikaža (cm3) 498,Snaga (kW/KS) 33/45,Broj cilindara 2,Menjač Automatski,Boja Srebrna,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
1.450 €,Polovan motor,Piaggio,Scooter,beverly 250 ie,2006. godište,34.000 km,Kubikaža (cm3) 244,Snaga (kW/KS) 15/20,Broj cilindara 1,Menjač Automatski,Boja Srebrna,Registrovan do 09.2017.,Poreklo vozila Domaće tablice,nepoznato,Oštećenje Nije oštećen
7.900 €,Polovan motor,Honda,Touring,VFR 1200 F,2010. godište,40.626 km,Kubikaža (cm3) 1237,Snaga (kW/KS) 127/173,Broj cilindara 4,Menjač Manuelni,Boja Siva,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
3.400 €,Polovan motor,Kawasaki,Touring,ER 6F,2007. godište,26.800 km,Kubikaža (cm3) 649,Snaga (kW/KS) 53/72,Broj cilindara 2,Menjač Manuelni,Boja Crna,Registrovan do 06.2017.,Poreklo vozila Domaće tablice,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
4.700 €,Polovan motor,Yamaha,Touring,FJR 1300,2004. godište,63.000 km,Kubikaža (cm3) 1300,Snaga (kW/KS) 106/143,Broj cilindara 4,Menjač Manuelni,Boja Crna,Registrovan do 04.2017.,Poreklo vozila Strane tablice,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
1.790 €,Nov motor,Peugeot,Scooter,Vivacity NEW,2016. godište,0 km,Kubikaža (cm3) 49,Snaga (kW/KS) 3/4,Broj cilindara 1,Menjač Automatski,Boja Bela,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vazdušno hlađenje,Oštećenje Nije oštećen
2.220 €,Nov motor,Peugeot,Scooter,Speedfight NEW,2016. godište,0 km,Kubikaža (cm3) 49,Snaga (kW/KS) 4/5,Broj cilindara 1,Menjač Automatski,Boja Bela,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
1.540 €,Nov motor,Peugeot,Scooter,Kisbee NEW,2016. godište,0 km,Kubikaža (cm3) 49,Snaga (kW/KS) 3/4,Broj cilindara 1,Menjač Automatski,Boja Crvena,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vazdušno hlađenje,Oštećenje Nije oštećen
1.540 €,Nov motor,Peugeot,Scooter,Kisbee NEW,2016. godište,0 km,Kubikaža (cm3) 49,Snaga (kW/KS) 3/4,Broj cilindara 1,Menjač Automatski,Boja Braon,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vazdušno hlađenje,Oštećenje Nije oštećen
2.800 €,Polovan motor,Kawasaki,Naked,zr7,2001. godište,33.000 km,Kubikaža (cm3) 750,Snaga (kW/KS) 56/76,Broj cilindara 4,Menjač Manuelni,Boja Bela,Registrovan do 11.2017.,Poreklo vozila Domaće tablice,nepoznato,Oštećenje Nije oštećen
Na upit,Nov motor,KTM,Enduro / Cross,350 EXC F Six Days,2017. godište,0 km,Kubikaža (cm3) 349,Snaga (kW/KS) 15/20,Broj cilindara 1,Menjač Manuelni,Boja Bela,Registrovan do Nije registrovan,Poreklo vozila Domaće tablice,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
8.940 €,Nov motor,Ducati,Naked,Scrambler Sixty 2,2017. godište,0 km,Kubikaža (cm3) 399,Snaga (kW/KS) 30/41,Broj cilindara 2,Menjač Manuelni,Boja Narandžasta,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vazdušno hlađenje,Oštećenje Nije oštećen
9.940 €,Nov motor,Ducati,Naked,Monster 797,2017. godište,0 km,Kubikaža (cm3) 803,Snaga (kW/KS) 55/75,Broj cilindara 2,Menjač Manuelni,Boja Crvena,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
14.590 €,Nov motor,Ducati,Naked,Monster 1200,2017. godište,0 km,Kubikaža (cm3) 1198,Snaga (kW/KS) 110/150,Broj cilindara 2,Menjač Manuelni,Boja Crvena,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
24.990 €,Nov motor,Ducati,Touring,Multistrada Pikes Peak,2017. godište,0 km,Kubikaža (cm3) 1198,Snaga (kW/KS) 118/160,Broj cilindara 2,Menjač Manuelni,Boja Crvena,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
12.990 €,Nov motor,Ducati,Supermoto,Hypermotard,2017. godište,0 km,Kubikaža (cm3) 937,Snaga (kW/KS) 83/113,Broj cilindara 2,Menjač Manuelni,Boja Crvena,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
14.890 €,Nov motor,Ducati,Sport / Super sport,SuperSport,2017. godište,0 km,Kubikaža (cm3) 937,Snaga (kW/KS) 83/113,Broj cilindara 2,Menjač Manuelni,Boja Crvena,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
13.990 €,Nov motor,Ducati,Touring,Multistrada 950,2017. godište,0 km,Kubikaža (cm3) 937,Snaga (kW/KS) 83/113,Broj cilindara 2,Menjač Manuelni,Boja Crvena,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
25.999 €,Nov motor,Bombardier,Touring,SPYDER RT,2016. godište,0 km,Kubikaža (cm3) 1330,Snaga (kW/KS) 85/115,Broj cilindara 3,Menjač Automatski,Boja Crvena,Registrovan do Nije registrovan,Poreklo vozila Domaće tablice,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
28.000 €,Polovan motor,Ducati,Sport / Super sport,Panigale 1199R,2013. godište,1.500 km,Kubikaža (cm3) 1199,Snaga (kW/KS) 135/184,Broj cilindara 2,Menjač Manuelni,Boja Crvena,Registrovan do Nije registrovan,Poreklo vozila Domaće tablice,nepoznato,Oštećenje Nije oštećen
Na upit,Nov motor,KTM,Enduro / Cross,EXC 250 Six Days,2016. godište,0 km,Kubikaža (cm3) 249,Snaga (kW/KS) 12/16,Broj cilindara 1,Menjač Manuelni,Boja Bela,Registrovan do Nije registrovan,Poreklo vozila Domaće tablice,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
Na upit,Nov motor,KTM,Enduro / Cross,EXC 250,2016. godište,0 km,Kubikaža (cm3) 249,Snaga (kW/KS) 14/19,Broj cilindara 1,Menjač Manuelni,Boja Narandžasta,Registrovan do Nije registrovan,Poreklo vozila Domaće tablice,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
3.390 €,Nov motor,Piaggio,Scooter,MEDLEY 150 ABS,2017. godište,0 km,Kubikaža (cm3) 150,Snaga (kW/KS) 11/15,Broj cilindara 1,Menjač Automatski,nepoznato,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
3.350 €,Nov motor,Piaggio,Scooter,Medley 150 ABS,2016. godište,0 km,Kubikaža (cm3) 155,Snaga (kW/KS) 11/15,Broj cilindara 1,Menjač Automatski,Boja Bela,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
