Cena,Stanje,Marka,Tip,Model,Godiste,Kilometraza,Kubikaza,kW,KS,Broj cilindara,Menjac,Boja,Registracija,Poreklo,Ostecenje
5900,Polovan motor,Peugeot,Scooter,METROPOLIS RS,2014,5200,400,27,37,1, Automatski, Crna, 08.2017.,Domace tablice, Nije ostecen
1090,Polovan motor,Yamaha,Scooter,Majesty 250,2006,30000,249,15,20,1, Automatski, Srebrna, 09.2017.,Domace tablice, Nije ostecen
17200,Nov motor,BMW,Enduro / Cross,R 1200 GS,2016,0,1170,92,125,2, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
2650,Polovan motor,Piaggio,Scooter,Mp3,2008,17000,250,16,22,1, Automatski, Crna, 10.2017.,Domace tablice, Nije ostecen
2990,Nov motor,Honda,Scooter,PCX 125 Rata 64,2016,0,125,9,12,1, Automatski, Braon, Nije registrovan, Na ime kupca, Nije ostecen
3700,Polovan motor,Suzuki,Sport / Super sport,Hayabusa,2002,48560,1300,130,177,4, Manuelni, Plava, 09.2017.,Domace tablice, Nije ostecen
1850,Polovan motor,Aprilia,Scooter,Scarabeo 500,2007,37400,459,28,38,2, Automatski, Siva, 08.2017.,Domace tablice, Nije ostecen
4650,Polovan motor,Yamaha,Chopper / Cruiser,XVS650 VSTAR,2007,8403,649,29,39,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
3000,Polovan motor,Honda,Chopper / Cruiser,Shadow VT600,2004,55000,600,29,39,2, Manuelni, Crvena, 06.2017.,Domace tablice, Nije ostecen
2650,Polovan motor,Gilera,Scooter,nexus 250,2008,14300,244,17,23,1, Automatski, Plava, 09.2017.,Domace tablice, Nije ostecen
25999,Nov motor,Bombardier,Touring,SPYDER RT,2016,0,1330,85,115,3, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
4490,Nov motor,Vespa,Scooter,PRIMAVERA 125 ABS,2016,0,124,8,11,1, Manuelni, Plava, Nije registrovan,Domace tablice, Nije ostecen
8900,Nov motor,Piaggio,Scooter,MP3 500 LT ABS/ASR,2017,0,493,29,40,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
25999,Nov motor,Bombardier,Touring,SPYDER RT,2016,0,1330,85,115,3, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
18990,Nov motor,Ducati,Touring,Multistrada 1200,2017,0,1198,118,160,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
9990,Nov motor,Ducati,Naked,Monster 821,2016,0,821,82,112,2, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
9500,Nov motor,Ducati,Enduro / Cross,Scrambler Urban Enduro,2016,0,803,55,75,2, Manuelni, Zelena, Nije registrovan, Na ime kupca, Nije ostecen
10450,Nov motor,Yamaha,Naked,XSR 900 abs,2017,0,847,85,116,3, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
5570,Nov motor,Yamaha,Sport / Super sport,YZF R125 abs,2017,0,125,11,15,1, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
20199,Nov motor,Bombardier,Naked,CanAm SPYDER F3,2016,0,1330,85,116,3, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
4990,Nov motor,Yamaha,Scooter,X MAX 250R,2017,0,249,15,20,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
13999,Nov motor,Yamaha,Enduro / Cross,XTZ1200 SUPER TENERE AKC,2017,0,1199,83,113,2, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
10800,Nov motor,Yamaha,Touring,MT 09 Tracer,2017,0,847,84,114,3, Manuelni,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
10290,Nov motor,Yamaha,Touring,MT 09 TRACER,2016,0,847,85,115,3, Manuelni,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
14300,Nov motor,Yamaha,Sport / Super sport,YZF R6 NOVO,2017,0,599,1,1,4, Manuelni,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
8650,Nov motor,Yamaha,Touring,MT 07 Tracer NOVO,2017,0,689,55,75,2, Manuelni,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
4850,Nov motor,Yamaha,Sport / Super sport,YZF R125 AKCIJA,2016,0,125,11,15,1, Manuelni,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
630,Polovan motor,Honda,Sport / Super sport,Vfr 750 f,1990,40000,750,36,49,4, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
3600,Polovan motor,Kawasaki,Sport / Super sport,NINJA 650 R,2007,9511,650,34,46,2, Manuelni, Crna, 06.2017.,Domace tablice, Nije ostecen
2100,Polovan motor,Kawasaki,Sport / Super sport,ZX6 R,1999,28500,599,79,107,4, Manuelni, Zelena, 07.2017.,Domace tablice, Nije ostecen
